;Trattamento;Species Accuracy;Species Precision;Species Recall;Species F1;Species MCC;Stage Accuracy;Stage Precision;Stage Recall;Stage F1;Stage MCC
Fold_1;RB1;0,80;0,84;0,80;0,79;0,75;0,85;0,87;0,83;0,84;0,70
;RB3;0,76;0,84;0,75;0,77;0,70;0,97;0,98;0,95;0,96;0,92
;RB5;0,74;0,79;0,75;0,74;0,67;0,98;0,98;0,98;0,98;0,95
;RB7;0,82;0,81;0,81;0,81;0,76;0,85;0,86;0,85;0,85;0,71
;RB9;0,88;0,85;0,85;0,85;0,83;0,98;0,98;0,97;0,98;0,95
Fold_2;RB1;0,86;0,81;0,81;0,81;0,81;0,94;0,95;0,95;0,94;0,89
;RB3;0,49;0,56;0,53;0,53;0,32;0,78;0,79;0,78;0,78;0,57
;RB5;0,88;0,90;0,83;0,83;0,85;0,84;0,84;0,85;0,84;0,70
;RB7;0,77;0,72;0,74;0,70;0,70;0,74;0,77;0,75;0,74;0,52
;RB9;0,73;0,76;0,77;0,72;0,67;0,88;0,89;0,89;0,88;0,78
Fold_3;RB1;0,83;0,85;0,85;0,84;0,78;0,94;0,94;0,94;0,94;0,88
;RB3;0,89;0,91;0,88;0,87;0,86;1,00;1,00;1,00;1,00;1,00
;RB5;0,90;0,91;0,91;0,91;0,87;0,88;0,89;0,88;0,88;0,77
;RB7;0,83;0,84;0,83;0,83;0,78;0,83;0,85;0,86;0,83;0,71
;RB9;0,91;0,93;0,91;0,91;0,88;0,89;0,88;0,90;0,88;0,78
Fold_4;RB1;0,86;0,89;0,84;0,84;0,82;0,86;0,85;0,86;0,86;0,71
;RB3;0,50;0,80;0,51;0,45;0,45;0,94;0,93;0,94;0,94;0,87
;RB5;0,61;0,67;0,58;0,56;0,48;0,97;0,95;0,98;0,96;0,93
;RB7;0,60;0,64;0,66;0,61;0,47;0,88;0,84;0,89;0,85;0,72
;RB9;0,56;0,70;0,61;0,55;0,48;0,83;0,83;0,83;0,83;0,67
Fold_5;RB1;0,93;0,94;0,95;0,94;0,91;0,89;0,89;0,89;0,89;0,78
;RB3;0,87;0,86;0,86;0,85;0,83;0,97;0,98;0,97;0,97;0,95
;RB5;0,91;0,93;0,91;0,91;0,87;0,97;0,96;0,97;0,97;0,94
;RB7;0,89;0,89;0,88;0,88;0,85;0,82;0,79;0,80;0,80;0,60
;RB9;1,00;1,00;1,00;1,00;1,00;0,84;0,83;0,85;0,84;0,68
Fold_AVG;RB1;0,86;0,87;0,85;0,85;0,81;0,90;0,90;0,89;0,89;0,79
;RB3;0,70;0,79;0,71;0,69;0,63;0,93;0,93;0,93;0,93;0,86
;RB5;0,81;0,84;0,80;0,79;0,75;0,93;0,92;0,93;0,92;0,86
;RB7;0,78;0,78;0,78;0,77;0,71;0,82;0,82;0,83;0,81;0,65
;RB9;0,81;0,85;0,83;0,80;0,77;0,88;0,88;0,89;0,88;0,77
